baseline_threshold,federated_threshold,baseline_significant,preserved,coverage,federated_significant,filtering_ratio,false_positives
5e-08,0.05,100,100,1.0,35501,0.0028168220613503845,35401
5e-08,0.1,100,100,1.0,57946,0.0017257446588202809,57846
5e-08,0.15,100,100,1.0,74497,0.0013423359329905902,74397
5e-08,0.2,100,100,1.0,86930,0.0011503508570113886,86830
5e-08,0.25,100,100,1.0,95428,0.0010479104665297397,95328
5e-08,0.3,100,100,1.0,102417,0.0009764004022769657,102317
5e-08,0.35,100,100,1.0,108233,0.0009239326268328514,108133
5e-08,0.4,100,100,1.0,112128,0.000891837899543379,112028
5e-05,0.05,1933,1868,0.966373512674599,35501,0.05444917044590293,33633
5e-05,0.1,1933,1931,0.9989653388515262,57946,0.03335864425499603,56015
5e-05,0.15,1933,1932,0.999482669425763,74497,0.025947353584708108,72565
5e-05,0.2,1933,1933,1.0,86930,0.02223628206603014,84997
5e-05,0.25,1933,1933,1.0,95428,0.02025610931801987,93495
5e-05,0.3,1933,1933,1.0,102417,0.018873819776013746,100484
5e-05,0.35,1933,1933,1.0,108233,0.017859617676679016,106300
5e-05,0.4,1933,1933,1.0,112128,0.017239226598173518,110195
0.0005,0.05,6325,5248,0.8297233201581028,35501,0.17816399538041183,30253
0.0005,0.1,6325,6175,0.9762845849802372,57946,0.10915334967038277,51771
0.0005,0.15,6325,6277,0.9924110671936759,74497,0.08490274776165484,68220
0.0005,0.2,6325,6300,0.9960474308300395,86930,0.07275969170597033,80630
0.0005,0.25,6325,6312,0.9979446640316205,95428,0.06628033700800604,89116
0.0005,0.3,6325,6315,0.9984189723320158,102417,0.06175732544401808,96102
0.0005,0.35,6325,6316,0.9985770750988142,108233,0.05843873864717785,101917
0.0005,0.4,6325,6316,0.9985770750988142,112128,0.05640874714611872,105812
0.005,0.05,19290,12277,0.6364437532400208,35501,0.5433649756344892,23224
0.005,0.1,19290,16405,0.850440642820114,57946,0.3328961446864322,41541
0.005,0.15,19290,17926,0.9292897874546397,74497,0.25893660147388486,56571
0.005,0.2,19290,18587,0.9635562467599793,86930,0.22190268031749683,68343
0.005,0.25,19290,18869,0.97817522032141,95428,0.2021419289935868,76559
0.005,0.3,19290,19034,0.9867288750648004,102417,0.18834763759922668,83383
0.005,0.35,19290,19141,0.9922757905650597,108233,0.17822660371605703,89092
0.005,0.4,19290,19210,0.9958527734577501,112128,0.1720355308219178,92918
0.05,0.05,53827,22970,0.4267375109145968,35501,1.5162108109630714,12531
0.05,0.1,53827,33877,0.6293681609601129,57946,0.9289165775031927,24069
0.05,0.15,53827,40055,0.744143273821688,74497,0.722539162650845,34442
0.05,0.2,53827,44286,0.8227469485574154,86930,0.61919935580352,42644
0.05,0.25,53827,46615,0.8660151968343025,95428,0.5640587668189629,48813
0.05,0.3,53827,48705,0.9048432942575287,102417,0.5255670445336224,53712
0.05,0.35,53827,50170,0.9320601185278763,108233,0.4973252150453189,58063
0.05,0.4,53827,51356,0.9540936704627789,112128,0.4800495861872146,60772
